sn,seglen
1,1460
1461,1460
2921,1460
4381,1460
5841,1460
7301,892
8193,1460
9653,1460
11113,1460
12573,1460
14033,1460
15493,892
16385,1460
17845,1460
19305,1460
20765,1460
22225,1460
23685,892
24577,1460
26037,1460
27497,1460
28957,1460
30417,1460
31877,892
32769,1460
34229,1460
35689,1460
37149,1460
38609,1460
40069,892
40961,1460
42421,1460
43881,1460
45341,1460
46801,1460
48261,892
49153,1460
50613,1460
52073,1460
53533,1460
54993,1460
56453,892
57345,1460
58805,1460
60265,1460
64645,892
65537,0
65537,1460
66997,1460
68457,1460
69917,1460
71377,1460
72837,892
61725,1460
63185,1460
73729,1460
75189,1460
76649,1460
78109,1460
79569,1460
81029,892
81921,1460
83381,1460
84841,1460
86301,1460
87761,1460
89221,892
91573,1460
93033,1460
94493,1460
95953,1460
97413,892
90113,1460
98305,1460
101225,1460
102685,1460
104145,1460
105605,892
106497,1460
107957,1460
109417,1460
110877,1460
112337,1460
114689,1460
116149,1460
117609,1460
119069,1460
120529,1460
113797,892
99765,1460
121989,1460
123449,1460
126369,1460
127829,1460
129289,1460
130749,1460
132209,1460
133669,1460
135129,1460
136589,1460
138049,1460
140969,1460
142429,1460
124909,1460
143889,1460
145349,1460
146809,1460
139509,1460
148269,1460
149729,1460
151189,1460
152649,1460
154109,1460
155569,1460
158489,1460
161409,1460
162869,1460
164329,1460
165789,1460
167249,1460
168709,1460
157029,1460
159949,1460
170169,1460
171629,404
172033,1460
173493,1460
176413,1460
177873,1460
179333,892
174953,1460
180225,1460
181685,1460
183145,1460
184605,1460
186065,1460
187525,892
188417,1460
189877,1460
191337,1460
192797,1460
194257,1460
198069,1460
199529,1460
200989,1460
202449,1460
203909,892
195717,1460
197177,892
204801,1460
206261,1460
210641,1460
212101,892
212993,1460
207721,1460
209181,1460
214453,1460
215913,1460
217373,1460
218833,1460
220293,892
221185,1460
222645,1460
224105,1460
225565,1460
227025,1460
228485,892
229377,1460
230837,1460
232297,1460
233757,1460
235217,1460
236677,892
237569,1460
239029,1460
240489,1460
241949,1460
243409,1460
244869,892
245761,1460
247221,1460
248681,1460
250141,1460
253061,892
253953,1460
255413,1460
256873,1460
258333,1460
259793,1460
261253,892
251601,1460
262145,1460
265065,1460
266525,1460
267985,1460
269445,892
263605,1460
263605,1460
270337,1460
271797,1460
273257,1460
274717,1460
276177,1460
277637,892
278529,1460
279989,1460
281449,1460
282909,1460
284369,1460
285829,1226
287055,1460
288515,1460
291435,1460
292895,1460
294355,1460
295815,1460
297275,1460
298735,1460
300195,1460
289975,1460
301655,1460
303115,1460
304575,1460
306035,1460
307495,1460
308955,1460
310415,939
311354,1460
312814,1460
314274,1460
317194,1460
318654,1097
321211,1460
322671,1460
324131,1460
325591,1460
327051,1460
315734,1460
328511,1460
329971,1460
319751,1460
331431,1460
332891,1460
334351,1460
335811,1460
337271,1460
338731,1460
340191,1460
341651,1460
343111,1460
344571,1460
346031,1460
347491,1460
348951,1460
350411,1460
351871,790
352661,1460
354121,1460
355581,1460
357041,1460
358501,1460
360708,1460
362168,1460
363628,1460
365088,1460
368008,1460
369468,1460
370928,1460
372388,1460
373848,1460
375308,1460
376768,1460
359961,1460
366548,1460
378228,1460
379688,1460
384068,1460
385528,1460
386988,1460
388448,1460
389908,1460
391368,1460
392828,389
381148,1460
382608,1460
393217,1460
394677,1460
396137,1460
397597,1460
400517,892
401409,1460
402869,1460
404329,1460
405789,1460
407249,1460
399057,1460
408709,1460
410169,1460
411629,1460
413089,1460
414549,1460
416009,1460
417469,1460
418929,1460
420389,1460
421849,1460
423309,1460
424769,1460
426229,1460
427689,1460
429149,1460
430609,1460
432069,1460
433529,1055
434584,1460
436044,1460
437504,1460
438964,1460
440424,1460
441884,819
442703,1460
444163,1460
445623,1460
447083,1460
448543,1460
450003,1460
451463,1460
452923,1460
454383,1460
455843,1460
457303,1460
458763,1460
460223,1460
461683,1460
463143,1460
464603,1460
466063,882
466945,1460
468405,1460
469865,1460
471325,1460
472785,1460
474245,892
478057,1460
479517,1460
480977,1460
482437,892
475137,1460
476597,1460
483329,1460
484789,1460
489169,1460
490629,892
491521,1460
492981,1460
494441,1460
495901,1460
497361,1460
486249,1460
487709,1460
498821,892
499713,1460
501173,1460
504093,1460
505553,1460
507013,892
509365,1460
510825,1460
502633,1460
512285,1460
513745,1460
507905,250
508155,1210
515205,892
516097,1460
517557,1460
519017,1460
521937,1460
523397,892
524289,1460
525749,1460
520477,1460
527209,1460
528669,1460
530129,1460
531589,892
532481,1460
533941,1460
535401,1460
538321,1460
539781,892
540673,1460
542133,1460
536861,1460
543593,1460
545053,1460
546513,1460
547973,892
548865,1460
550325,1460
551785,1460
553245,1460
554705,1460
556165,892
557057,1460
558517,1460
559977,1460
561437,1460
562897,1460
564357,892
565249,1460
566709,1460
568169,1460
569629,1460
571089,1460
573441,1460
574901,1460
576361,1460
